,,0,1,2,3,4,5,6,7,8,9
20x5,1,12601,12470,13089,13233,13903,13195,13577,13604,12261,13123
,10,12623,12419,13089,13233,13953,13180,13573,13605,12261,13123
,11,12591,12509,13133,13233,13911,13177,13589,13604,12273,13191
,12,12591,12509,13089,13233,13903,13201,13532,13605,12257,13191
,13,12655,12599,13133,13233,13953,13180,13522,13604,12257,13123
,14,12623,12406,13133,13254,13977,13177,13478,13591,12261,13123
,15,12601,12419,13089,13233,13953,13195,13478,13655,12261,13123
,16,12665,12495,13198,13254,14029,13201,13478,13620,12270,13082
,17,12652,12419,13211,13254,13911,13177,13516,13641,12257,13082
,18,12623,12419,13133,13254,14043,13195,13532,13604,12257,13123
,19,12614,12406,13198,13254,14114,13316,13478,13620,12257,13123
,2,12591,12509,13133,13254,13953,13177,13532,13604,12257,13196
,20,12601,12419,13175,13233,13977,13195,13532,13680,12273,13191
,3,12570,12419,13198,13233,13911,13177,13573,13591,12257,13123
,4,12614,12419,13211,13233,13903,13177,13573,13666,12273,13196
,5,12623,12419,13177,13233,13903,13316,13532,13666,12257,13123
,6,12614,12419,13133,13233,13953,13177,13532,13604,12261,13123
,7,12623,12419,13160,13233,13953,13195,13573,13591,12257,13123
,8,12599,12419,13089,13254,13911,13182,13538,13604,12261,13144
,9,12599,12419,13122,13233,13911,13177,13532,13591,12270,13123
,Best,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,Mean,12613.65,12446.55,13144.65,13240.35,13951.25,13198.35,13533.5,13617.5,12261.9,13137.45
20x10,1,20631,20169,18386,19490,19489,22593,19971,19430,20531,21937
,10,20631,20299,18437,19490,19489,22737,19874,19442,20476,21893
,11,20631,20157,18510,19666,19794,22593,20061,19442,20575,21894
,12,20716,20169,18465,19686,19548,22660,19787,19388,20611,21790
,13,20620,20277,18437,19686,19528,22617,20004,19459,20441,21841
,14,20631,20169,18465,19470,19572,22593,20013,19490,20599,21884
,15,20716,20299,18442,19470,19548,22665,19912,19480,20459,21978
,16,20620,20235,18521,19479,19548,23002,19787,19466,20476,21893
,17,20631,20147,18386,19666,19637,22617,19787,19610,20442,21790
,18,20690,20169,18455,19490,19528,22829,19787,19430,20827,21790
,19,20629,20242,18479,19479,19726,22725,19846,19442,20476,21793
,2,20629,20169,18455,19470,19528,22591,19852,19388,20476,21790
,20,20620,20150,18455,19622,19528,22665,19852,19459,20637,21790
,3,20631,20330,18455,19490,19528,22717,19966,19388,20459,21885
,4,20631,20192,18437,19479,19489,22617,19994,19466,20441,21790
,5,20629,20169,18386,19470,19512,22846,19912,19388,20441,21847
,6,20812,20169,18442,19479,19489,22558,19787,19442,20459,21885
,7,20580,20150,18437,19470,19535,22879,20004,19466,20442,21880
,8,20640,20250,18455,19490,19572,22617,19852,19610,20476,21792
,9,20761,20250,18386,19666,19489,22617,19912,19610,20710,21805
,Best,20580,20147,18386,19470,19489,22558,19787,19388,20441,21790
,Mean,20653.95,20208.05,18444.55,19535.4,19553.85,22686.9,19898,19464.8,20522.7,21847.35
20x20,1,34413,32624,32157,34084,32508,33014,33398,33259,33149,32289
,10,34369,32532,32092,34084,32535,33405,33293,33174,33340,32470
,11,34413,32628,32232,34144,32535,33418,33673,33174,33382,32250
,12,34410,33091,32111,34144,32508,33316,33402,33321,33650,32284
,13,34467,32688,32206,34084,32576,33343,33640,33487,33473,32453
,14,34474,32624,32117,34114,32535,33342,33701,33174,33213,32379
,15,34413,32688,32403,34146,32659,33224,33312,33174,33146,32461
,16,34413,32655,32092,34262,32867,33056,33448,33174,33586,32474
,17,34413,32624,32092,34144,32835,33463,33487,33174,33374,32288
,18,34413,32838,32092,34084,32535,33320,33465,33441,33422,32289
,19,34413,32495,32232,34084,32508,33432,33293,33231,33415,32457
,2,34476,32688,32233,34264,32731,33375,33297,33259,33527,32216
,20,34413,32582,32260,34084,32508,32977,33293,33174,33284,32456
,3,34413,32646,32111,34212,32508,33392,33535,33271,33321,32434
,4,34459,33175,32126,34180,32508,33475,33549,33174,33418,32216
,5,34460,32532,32092,34264,32535,33014,33357,33174,33340,32486
,6,34413,32699,32092,34114,32642,33387,33330,33174,33146,32216
,7,34413,32628,32111,34303,32535,32977,33371,33174,33381,32299
,8,34413,32688,32091,34084,32802,33121,33357,33174,33415,32564
,9,34439,33107,32126,34084,32535,33348,33293,33174,33149,32288
,Best,34369,32495,32091,34084,32508,32977,33293,33174,33146,32216
,Mean,34425.5,32711.6,32153.4,34148.15,32595.25,33269.95,33424.7,33226.55,33356.55,32363.45
50x5,1,67349,68226,77090,62962,68073,67436,63869,65498,65206,63531
,10,67012,68295,77143,62935,67969,67674,63868,65669,65126,64032
,11,67088,68299,77238,63045,68104,67549,64094,66086,64734,63999
,12,66957,68391,77028,63081,68120,67473,63811,65478,65025,63634
,13,67208,68592,77056,62977,68034,67492,64342,65561,65153,63714
,14,67066,68444,77079,63157,67874,67426,64406,65738,64935,63507
,15,67044,68033,77069,63093,68168,67385,64015,65820,65245,63738
,16,67164,68509,77105,62990,67944,67705,63910,65768,65075,64088
,17,67290,68451,77084,63122,68320,67638,63747,66175,65335,63649
,18,67327,68395,77202,63182,68072,67456,64132,65524,64878,63903
,19,67236,68355,76937,63143,67921,67614,63847,65587,64902,63528
,2,67355,68304,77147,63124,67897,67437,64061,65636,65009,63704
,20,67188,68332,77412,63008,67868,67479,64071,65698,64659,64036
,3,67096,68157,77100,62969,68060,67507,64060,65883,64961,63666
,4,67300,68490,77162,63393,67989,67549,64213,65636,65081,63926
,5,67167,68066,77260,63092,68060,67528,64090,65417,65135,63619
,6,67533,68230,76932,63269,67975,67655,64088,65495,65265,63866
