,,0,1,2,3,4,5,6,7,8,9
20x5,1,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,10,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,11,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,12,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,13,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,14,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,15,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,16,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,17,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,18,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,19,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,2,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,20,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,3,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,4,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,5,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,6,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,7,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,8,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,9,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,Min,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,Max,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,Mean,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,Std. Dev,0,0,0,0,0,0,0,0,0,0
,ARPD,0,0,0,0,0,0,0,0,0,0
20x10,1,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,10,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,11,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,12,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,13,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,14,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,15,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,16,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,17,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,18,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,19,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,2,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,20,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,3,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,4,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,5,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,6,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,7,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,8,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,9,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,Min,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,Max,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,Mean,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,Std. Dev,0,0,0,0,0,0,0,0,0,0
,ARPD,0,0,0,0,0,0,0,0,0,0
20x20,1,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,10,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,11,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,12,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,13,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,14,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,15,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,16,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,17,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,18,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,19,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,2,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,20,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,3,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,4,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,5,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,6,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,7,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,8,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,9,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,Min,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,Max,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,Mean,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,Std. Dev,0,0,0,0,0,0,0,0,0,0
,ARPD,0,0,0,0,0,0,0,0,0,0
50x5,1,66594,67410,76801,62648,67544,67178,63268,65090,64368,63232
,10,66627,67482,76801,62720,67544,67172,63372,65095,64320,63202
,11,66614,67492,76801,62648,67596,67186,63351,65039,64368,63124
,12,66618,67530,76801,62648,67596,67172,63467,64946,64320,63202
,13,66570,67492,76801,62807,67501,67239,63351,65095,64336,63261
,14,66609,67504,76801,62720,67542,67239,63287,64972,64368,63124
,15,66680,67473,76801,62648,67569,67178,63387,64946,64320,63124
,16,66618,67410,76801,62648,67520,67178,63437,65190,64338,63191
,17,66590,67573,76801,62648,67556,67178,63268,65153,64312,63124
,18,66686,67504,76801,62648,67520,67178,63285,65077,64288,63156
,19,66686,67504,76801,62754,67575,67178,63387,64920,64320,63195
,2,66562,67542,76801,62720,67569,67178,63268,65094,64321,63164
,20,66680,67573,76801,62648,67628,67186,63268,64920,64337,63146
,3,66616,67506,76801,62720,67556,67172,63288,65095,64368,63144
,4,66570,67476,76801,62754,67544,67178,63268,64920,64320,63232
,5,66628,67465,76801,62648,67554,67178,63340,65049,64368,63124
,6,66637,67450,76801,62648,67544,67178,63246,65039,64320,63243
,7,66595,67410,76801,62720,67554,67178,63246,65095,64349,63222
,8,66595,67542,76801,62648,67544,67172,63246,65039,64320,63195
,9,66692,67450,76801,62648,67544,67178,63288,65113,64336,63239
,Min,66562,67410,76801,62648,67501,67172,63246,64920,64288,63124
,Max,66692,67573,76801,62807,67628,67239,63467,65190,64368,63261
,Mean,66623.35,67489.4,76801,62684.55,67555,67183.7,63315.9,65044.35,64334.85,63182.2
,Std. Dev,41.4503825136309,48.7770437808607,0,49.7123038884212,28.7896180117618,19.2821160664487,66.203752477524,81.0083004194145,23.1295550279177,46.7857378178211
,ARPD,0.092169706439109,0.117786678534342,0,0.05834184650747,0.081481481481482,0.017417971773954,0.110520823451285,0.191543438077634,0.128945402477744,0.092199480387808
50x10,1,84970,88021,85837,87311,88629,88734,84370,86571,86801,93164
,10,84862,88015,85630,86952,88801,88902,84308,86613,86929,93228
,11,84970,88008,85472,86952,88801,88822,84468,86627,86923,93186
,12,84945,87701,85562,87375,88801,88756,84504,86808,86929,93186
,13,84962,87867,85728,87376,88629,88954,84468,86571,87029,93186
,14,84939,88140,85427,87375,88740,89026,84583,86569,86929,93295
,15,84970,87979,85472,87143,88753,88902,84380,86703,86786,93162
,16,85028,87979,85502,87375,88621,88796,84476,86584,86929,93202
,17,85028,88015,85652,87344,88771,88785,84504,86623,86929,93190
,18,84962,87924,85837,87375,88642,88756,84468,86549,86751,93129
,19,84970,87989,85427,87375,88644,88796,84380,86584,86816,93224
,2,84928,87958,85562,87336,88532,88720,84427,86627,86920,93112
,20,84979,88008,85502,87251,88664,88716,84479,86627,86816,93250
,3,85011,88184,85427,87122,88760,88820,84305,86595,86884,93117
,4,84865,88008,85641,87241,88789,88524,84366,86571,86876,93117
,5,84972,87934,85630,87375,88699,88894,84325,86627,86929,93171
,6,85011,88093,85752,87484,88789,88730,84425,86532,86876,93117
,7,85013,88184,85562,87375,88664,88755,84305,86613,86960,93171
,8,84946,87946,85427,87395,88702,88820,84427,86571,86910,93164
,9,84962,87946,85641,87522,88532,88756,84308,86608,86752,93250
,Min,84862,87701,85427,86952,88532,88524,84305,86532,86751,93112
,Max,85028,88184,85837,87522,88801,89026,84583,86808,87029,93295
,Mean,84964.65,87994.95,85584.5,87302.7,88698.15,88798.2,84413.8,86608.65,86883.7,93181.05
,Std. Dev,44.8732425253273,108.179906199179,131.971089337978,153.03013119197,86.2354640687803,105.788567683997,80.3751729146049,59.960754708919,73.7792582462606,50.2964632009679
,ARPD,0.195344284720339,0.335172917070501,0.184367939878493,0.403325972950594,0.187672254100212,0.309746509421174,0.182530263470211,0.145288669449487,0.152966536408802,0.162366978394066
50x20,1,122954,115284,125643,123851,124496,121360,125422,122031,125348,126271
,10,123203,115416,125627,123753,124638,121398,125280,122031,125744,126291
,11,122835,115416,125476,124129,124762,121350,125469,122110,125972,126318
,12,123040,115456,125476,124069,124660,121284,125469,121947,125972,126359
,13,122921,115443,125485,124129,124660,121350,125620,121932,125883,126476
,14,122772,115387,125312,123753,124660,121350,126005,122118,125814,126271
,15,122990,115476,125437,124013,124836,121398,125468,122031,125908,126097
,16,122835,115284,125403,124129,125121,121350,125280,122118,125972,126542
,17,123040,115547,125403,124129,124612,121427,125469,122355,125855,126542
,18,123033,115387,125433,124129,124718,121394,125469,122414,125348,126542
,19,123156,115443,125554,123864,124893,121419,125490,122031,125972,126348
,2,123017,115431,125485,123943,124572,121381,125638,122119,125883,126271
,20,122921,115547,125485,124024,124836,121350,126005,122048,125676,126361
,3,122927,115423,125485,124070,124590,121346,125507,121971,125861,126326
,4,123082,115284,125485,124014,124590,121350,125469,122233,125880,126271
,5,123136,115435,125472,124089,124590,121573,126050,122110,125972,126320
,6,123164,115413,125476,124129,124765,121284,126005,122057,125908,126386
,7,123024,115284,125485,124115,124564,121350,125507,122124,125611,126261
,8,123136,115431,125485,123933,124765,121573,125468,121971,125910,126386
,9,123143,115423,125712,123981,124496,121297,125679,122057,125972,126386
,Min,122772,115284,125312,123753,124496,121284,125280,121932,125348,126097
,Max,123203,115547,125712,124129,125121,121573,126050,122414,125972,126542
,Mean,123016.45,115410.5,125490.95,124012.3,124691.2,121379.2,125588.45,122090.4,125823.05,126351.25
,Std. Dev,122.002793324364,77.0068349666375,88.7061826599773,125.52672183538,151.023037629154,76.858448153938,239.135168779852,123.887215261556,190.879812006348,110.835522996442
,ARPD,0.199108917342717,0.109729017036189,0.142803562308478,0.209530274013559,0.156792186094332,0.078493453382144,0.246208492975734,0.129908473575436,0.378984906021636,0.201630490812628
100x5,1,247147,259014,240251,248062,263161,229223,243591,239253,257136,253274
,10,247129,259216,240094,247954,262973,229632,243911,238850,256981,253735
,11,247026,259397,240049,248062,263068,229255,243825,238946,257031,253943
,12,247087,259077,240543,248341,263095,229223,243632,238850,256950,253436
,13,246696,259221,239872,248031,263016,229607,243886,239352,257070,253578
,14,246929,258927,240429,248252,263044,229722,243818,239125,257318,253611
,15,247112,259106,240543,248608,263059,229129,244276,239225,257031,253436
,16,247369,258980,239691,248376,263088,229403,243241,239070,257122,253737
,17,247036,259090,240611,248088,263095,229548,243886,239219,257070,253572
,18,246940,258926,239743,248376,263190,229249,243462,239125,257070,253321
,19,247101,259129,240226,248030,263020,229223,244090,239117,257297,253450
,2,246915,259275,239958,247962,263130,229922,243663,239408,257136,253573
,20,246734,259397,240183,248777,262895,229363,244160,238978,257118,253450
,3,247104,258901,240342,247988,263161,229632,243989,238992,257190,253735
,4,246957,259666,239943,248187,263342,229307,243773,239253,257226,253418
,5,246957,259114,239843,247990,263342,229607,243773,239020,256996,253624
,6,247114,258741,240251,247990,263163,229607,243982,238946,257213,253578
,7,247092,259147,239943,248330,263154,229622,243703,239431,257393,253698
,8,247092,259315,239691,248340,263077,229368,243773,239371,256976,253389
,9,247114,259002,240543,248277,263154,229602,243818,239174,256981,253578
,Min,246696,258741,239691,247954,262895,229129,243241,238850,256950,253274
,Max,247369,259666,240611,248777,263342,229922,244276,239431,257393,253943
,Mean,247032.55,259132.05,240137.45,248201.05,263111.35,229462.2,243812.6,239135.25,257115.25,253556.8
,Std. Dev,149.028247057572,210.909677599827,299.923933338894,227.677397579165,107.352971669702,213.896581011528,236.568316604427,178.652522188215,125.007736602685,163.733287616429
,ARPD,0.136422965917567,0.151135691676232,0.223056472581729,0.099635416246562,0.113902713726923,0.145420265439992,0.234993278271344,0.119426418254134,0.124710372086684,0.111657730363164
100x10,1,293520,290771,293616,288635,281438,287519,293179,299980,285386,284588
,10,293454,290579,294644,288338,282318,287396,292240,300323,286191,284024
,11,293862,290307,293436,288465,280770,287589,292240,300357,285492,284560
,12,293529,290830,293011,288274,281832,287713,292825,299644,285971,285007
,13,293598,291171,293481,288002,281369,288319,292536,299763,287498,284949
,14,293446,291188,293983,288201,282098,287488,292714,299536,285458,283775
,15,293766,291160,293684,288523,281510,289007,293536,299821,285223,283746
,16,293673,291073,293259,288851,281582,287629,293888,299877,284852,283885
,17,293665,291073,292861,289106,281289,287667,292614,302218,285318,283795
,18,293808,291296,293682,289106,282826,288046,293888,299872,285879,283429
,19,293598,291398,294022,288249,281735,287478,292337,299159,286031,284519
,2,293748,289636,293501,288253,281438,288302,292851,300621,285705,284026
,20,293011,291398,293915,288270,281438,288359,292749,300146,286189,284050
,3,293909,291015,293786,288605,281627,287862,293705,300473,285422,283450
,4,293365,290616,292864,288801,282161,287363,291481,301467,285492,284062
,5,293435,291193,293134,288457,282893,288550,291570,299272,285858,284177
,6,293491,290271,293385,289181,281065,288096,293705,300989,285166,284445
,7,294048,290536,294460,288262,281089,287301,292457,299869,285106,283304
,8,293562,290822,293064,288274,281387,287337,292004,300642,284699,284009
,9,293862,290604,294569,287841,281911,287427,293872,299837,286191,283832
,Min,293011,289636,292861,287841,280770,287301,291481,299159,284699,283304
,Max,294048,291398,294644,289181,282893,289007,293888,302218,287498,285007
,Mean,293617.5,290846.85,293617.85,288484.7,281688.8,287822.4,292819.55,300193.3,285656.35,284081.6
,Std. Dev,232.696210359751,444.596952306243,532.487140936904,368.05621710191,551.734928728413,477.428903497408,753.77732821193,737.000114261221,615.994469814547,473.441309651165
,ARPD,0.29530013355969,0.41805921915784,0.258433181611754,0.223630407065012,0.46930339226673,0.211828114228415,0.459223757294643,0.395067756478001,0.336267426299355,0.274475475108011
100x20,1,372770,374948,367633,383946,367013,374187,362206,377974,374435,379629
,10,373675,375378,366219,382652,366113,374537,363411,378168,372995,381563
,11,372875,374550,365187,381924,367971,375639,364432,378438,373586,382786
,12,373714,374234,365892,382541,365611,374838,365328,378059,374199,381012
,13,372875,375378,365972,383594,366757,375639,365922,377723,374765,380366
,14,372564,374061,366332,383050,367299,374321,363727,379212,373846,380045
,15,373391,374353,366535,383879,366757,373458,363327,377723,373067,382473
,16,373083,374581,365745,382352,366657,373933,363769,377838,374821,379151
,17,373391,375239,366726,383227,366699,374512,364416,377119,374637,381920
,18,373083,373771,366648,383521,365767,375316,366664,377730,373846,382397
,19,373532,373913,369539,383188,366607,374670,364553,378698,374437,381039
,2,372785,375054,366237,383962,366140,375158,362206,378268,373616,380762
,20,371861,374518,366326,381906,366497,374118,362917,377006,373615,381735
,3,372327,374718,367399,383769,367262,375158,361614,377664,374206,380503
,4,373303,373709,366451,383769,366183,375119,363017,377664,373013,381090
,5,372779,375706,365482,382926,364881,375068,364362,378478,373013,379777
,6,372639,374490,366237,382926,365594,375068,362283,378320,373593,380623
,7,373175,374146,365716,382556,365938,375183,363252,377522,372983,379585
,8,372639,373774,367799,382846,365574,375119,362853,378066,373398,380708
,9,373473,374564,366219,383012,366340,375183,364416,377995,374284,381499
,Min,371861,373709,365187,381906,364881,373458,361614,377006,372983,379151
,Max,373714,375706,369539,383962,367971,375639,366664,379212,374821,382786
,Mean,372996.7,374554.25,366514.7,383077.3,366383,374811.2,363733.75,377983.25,373817.75,380933.15
,Std. Dev,475.402001634296,584.508689323552,974.281873187145,636.938243722097,722.876782104159,578.651299415969,1300.33112685719,515.697062747419,626.154670231431,1021.49370892259
,ARPD,0.305409817109081,0.377399194953182,0.455443699243257,0.347951140670964,0.411641055577024,0.362343288937444,0.586191353210882,0.375828535616409,0.22380376585528,0.470037003726747
200x10,1,1054455,1062563,1047483,1078064,1021426,1061033,1036591,1044091,1064249,1036963
,10,1056685,1062247,1045743,1079789,1021402,1059594,1035391,1044663,1058104,1037118
,11,1059015,1063942,1047433,1076487,1023190,1066391,1037117,1043084,1058991,1039338
,12,1053490,1062247,1048218,1073750,1026508,1064616,1035786,1044663,1061840,1039338
,13,1060871,1063998,1050363,1074210,1019173,1063133,1035534,1044376,1062971,1037462
,14,1053085,1062312,1044648,1075254,1023877,1060530,1040519,1043835,1064504,1038251
,15,1059658,1065845,1042491,1075857,1023109,1061880,1035567,1046201,1060718,1037462
,16,1056647,1064984,1047089,1077158,1019173,1058838,1034792,1044550,1061862,1034626
