,,0,1,2,3,4,5,6,7,8,9
20x5,1,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,10,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,11,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,12,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,13,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,14,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,15,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,16,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,17,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,18,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,19,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,2,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,20,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,3,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,4,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,5,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,6,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,7,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,8,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,9,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,Min,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,Max,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,Mean,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,Std. Dev,0,0,0,0,0,0,0,0,0,0
,ARPD,0,0,0,0,0,0,0,0,0,0
20x10,1,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,10,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,11,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,12,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,13,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,14,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,15,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,16,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,17,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,18,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,19,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,2,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,20,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,3,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,4,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,5,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,6,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,7,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,8,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,9,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,Min,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,Max,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,Mean,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,Std. Dev,0,0,0,0,0,0,0,0,0,0
,ARPD,0,0,0,0,0,0,0,0,0,0
20x20,1,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,10,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,11,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,12,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,13,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,14,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,15,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,16,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,17,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,18,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,19,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,2,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,20,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,3,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,4,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,5,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,6,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,7,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,8,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,9,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,Min,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,Max,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,Mean,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,Std. Dev,0,0,0,0,0,0,0,0,0,0
,ARPD,0,0,0,0,0,0,0,0,0,0
50x5,1,67283,67955,77066,63003,68016,67618,64212,65772,65026,63777
,10,67223,68155,77159,62943,68055,67562,63864,65762,64900,63634
,11,67229,67896,77051,63018,67860,67495,64096,65810,64865,63779
,12,67262,67942,77057,62963,68030,67434,64176,65956,64763,63680
,13,67335,68084,77125,62939,68062,67535,63980,65725,64874,63608
,14,66990,67784,77065,62872,68038,67556,63956,65710,65040,63787
,15,67342,68119,77040,62916,68086,67525,64078,65766,64894,63526
,16,67159,68038,77139,63041,67877,67607,64037,65675,64767,63582
,17,67329,68073,77029,63009,68004,67486,64018,65700,65033,63651
,18,67247,68027,77102,63010,68008,67539,63761,65930,64964,63719
,19,67339,68232,77087,62925,68009,67593,64035,65725,64989,63762
,2,67244,68012,77079,62880,68034,67552,64026,65914,64850,63672
,20,67295,68035,76991,63059,68013,67552,64120,65796,64957,63721
,3,67253,68139,77077,62992,67975,67525,64025,65799,64820,63701
,4,67375,67946,77085,62949,67913,67428,64165,65577,64718,63504
,5,67346,68125,77091,62917,68085,67569,64033,65871,64825,63646
,6,67292,67978,77110,62941,68035,67561,64114,65835,64852,63634
,7,67275,68197,77137,62954,68016,67499,64037,65725,65015,63704
,8,67201,67961,77055,63019,67896,67491,64007,65746,64619,63584
,9,67410,68052,77131,63006,68115,67554,64030,65900,64933,63603
,Min,66990,67784,76991,62872,67860,67428,63761,65577,64619,63504
,Max,67410,68232,77159,63059,68115,67618,64212,65956,65040,63787
,Mean,67271.45,68037.5,77083.8,62967.8,68006.35,67534.05,64038.5,65784.7,64885.2,63663.7
,Std. Dev,90.6824853976485,108.592187370431,41.9493428842581,52.4611134179654,70.0430506714865,50.5021885924915,103.052107412247,95.3006875769088,113.710898426899,81.8233655986768
,ARPD,1.06584838195968,0.930870790683875,0.368224372078489,0.510471204188482,0.750148148148148,0.538989459894003,1.25304367074598,1.33194701170672,0.98549461495362,0.85498384132818
50x10,1,85616,88740,86267,88059,89227,89878,84913,87187,87609,93595
,10,85762,88683,86341,87840,89209,89767,84736,87399,87306,93531
,11,85571,88798,86148,87862,89487,89867,84771,87395,87644,93731
,12,85520,88900,86302,87842,89334,89766,84901,87276,87646,93752
,13,85711,88725,86263,87996,89297,89865,84939,87349,87510,93693
,14,85685,88567,86419,88040,89102,89664,84792,87241,87580,93603
,15,85868,88938,86278,87561,89195,89715,85093,87350,87458,93540
,16,85783,88727,86453,87860,89216,89918,85010,87281,87134,93725
,17,85620,88829,86449,87923,89346,89505,84775,87195,87478,93747
,18,85542,88990,86537,88033,89333,89767,84980,87299,87549,93699
,19,85698,88832,86332,87926,89258,89627,85209,87205,87428,93779
,2,85361,88947,86130,87880,89212,89529,85021,87274,87628,93559
,20,85872,88827,86430,87867,89436,89707,85021,87058,87593,93316
,3,85766,88688,86342,88055,89187,89796,84998,87163,87625,93559
,4,85890,88837,86238,87878,89195,89642,85089,87437,87233,93582
,5,85786,88826,86284,87597,89240,89381,84808,87176,87525,93717
,6,85749,88778,86404,87899,89577,89729,84943,87150,87533,93715
,7,85444,88804,86450,87888,89528,89473,85013,87381,87430,93455
,8,85534,88784,86547,87993,89093,89818,85162,87153,87531,93675
,9,85936,89092,86438,87763,89162,89700,85066,87364,87388,93785
,Min,85361,88567,86130,87561,89093,89381,84736,87058,87134,93316
,Max,85936,89092,86547,88059,89577,89918,85209,87437,87646,93785
,Mean,85685.7,88815.6,86352.6,87888.1,89281.7,89705.7,84962,87266.65,87491.4,93637.9
,Std. Dev,156.64646752951,118.682415670872,115.711255877905,133.861240017218,135.634997812434,145.422469848514,133.919850342619,104.034546387752,140.008420799382,121.349386830798
,ARPD,1.04564912322079,1.27090911164069,1.0834981914383,1.07657098169105,0.846812451994759,1.33489223261488,0.833135532874436,0.906131840939838,0.853477193346474,0.653445125228421
50x20,1,123638,116053,126297,124501,124915,122082,126272,122299,126573,126828
,10,123575,116136,126014,124392,125138,121889,126016,122712,126596,127225
,11,123654,115713,125764,124660,125642,121667,126197,122820,126717,127061
,12,123664,116082,125991,124841,125373,122210,125833,122770,126600,127350
,13,123972,115934,126215,124483,125468,122213,126164,122871,126239,126998
,14,123537,115861,126064,124612,125464,122117,126093,122532,126087,126861
,15,123394,115988,125998,125146,125203,121798,126258,122763,126379,127259
,16,124018,115710,126041,124945,125246,122083,126151,122827,126178,127103
,17,123641,115907,125814,124443,125273,121872,126180,122851,126893,127081
,18,123859,116062,126093,125090,125638,121942,126043,122742,126472,127442
,19,123906,115934,126154,125011,125676,122165,126016,123000,126785,126729
,2,123646,116203,126191,125353,125190,122480,126386,123072,126606,126910
,20,124058,115905,125704,124947,125341,122034,126173,122665,126323,126898
,3,123816,115882,125924,124610,125482,121782,126444,122819,126786,127156
,4,123721,115859,125720,124770,125641,122418,126168,122917,126647,126700
,5,123665,115978,126032,125174,125458,122174,125735,122575,126401,126924
,6,123438,115726,126222,124798,125362,122040,126217,122788,126631,126828
,7,123650,115810,125779,124692,125778,122082,125822,122536,126557,127074
,8,123433,115725,125955,124920,125893,121693,125986,122900,126574,126868
,9,123953,115775,125930,125179,125416,122534,125934,122926,126870,127320
,Min,123394,115710,125704,124392,124915,121667,125735,122299,126087,126700
,Max,124058,116203,126297,125353,125893,122534,126444,123072,126893,127442
,Mean,123711.9,115912.15,125995.1,124828.35,125429.85,122063.75,126104.4,122769.25,126545.7,127030.75
,Std. Dev,197.244678401965,145.595790497275,174.267761308794,277.935864430703,237.189525596371,242.604914906607,183.561376513057,180.447069072463,222.650800464244,211.933424253442
,ARPD,0.765565438373571,0.544871794871795,0.545119382022472,0.868948631548326,0.750104421025575,0.642912502885789,0.658045977011494,0.686653216546928,0.955499888310942,0.740501360064078
100x5,1,249268,262623,243101,251332,265703,232340,246635,241501,259683,256230
,10,249483,261789,242987,250537,265297,232747,246464,241501,259683,256300
,11,249504,263191,243101,251323,265888,232469,247092,241501,259683,256651
,12,249387,262453,242451,250792,265888,232372,246899,241501,259683,257001
,13,249590,262226,242994,251187,265269,231830,247175,241501,259683,256561
,14,249092,261843,243101,251230,265697,232016,246900,241501,259683,256362
,15,249289,262027,243101,251151,265746,232496,246835,241501,259683,256581
,16,249647,261944,243101,251591,265875,232043,247139,241501,259683,256760
,17,249436,263048,242890,251342,265381,232042,246664,241501,259683,255922
,18,249331,262326,242715,250893,265659,231976,246840,241501,259683,256720
,19,249340,262012,243036,251488,265713,232381,246794,241461,259653,256402
,2,249718,262340,243101,250878,265525,232405,246558,241501,259683,256287
,20,249442,261856,243101,251671,265246,232222,247169,241501,259683,256545
,3,249869,262006,243001,251185,265413,232003,247140,241501,259683,256598
,4,249850,262308,243101,250982,265665,232057,247582,241501,259683,256482
,5,249368,262446,242784,251212,265405,232241,246201,241501,259683,256106
,6,249167,262458,242891,250951,265394,232203,247212,241501,259683,256136
,7,249820,262111,243101,251172,265814,232570,247438,241501,259683,256641
,8,249534,262182,243101,251322,265818,231637,246329,241501,259683,256427
,9,249563,261980,243101,250894,265727,232199,246546,241501,259683,256571
,Min,249092,261789,242451,250537,265246,231637,246201,241461,259653,255922
,Max,249869,263191,243101,251671,265888,232747,247582,241501,259683,257001
,Mean,249484.9,262258.45,242993,251156.65,265606.15,232212.45,246880.6,241499,259681.5,256464.15
,Std. Dev,218.448572774849,376.303835106406,172.595663786477,280.922591885343,218.573912586013,268.122414108497,365.3373927294,8.94427190999916,6.70820393249937,253.949492491799
,ARPD,1.13050069721439,1.35944825134014,1.41484038179822,1.29163070569541,1.06317443647931,1.34572664307006,1.49629379915393,1.10906426627591,1.12404836542768,1.25956474016283
100x10,1,296237,294308,297333,291359,284838,291351,295536,304168,289024,287226
,10,296674,294296,297152,291944,285427,292120,296577,303815,288639,287225
,11,296433,294248,296234,292105,284309,291290,296473,304327,288856,285950
,12,296691,293532,297253,291785,284785,291351,296471,303983,289194,287573
,13,297060,293576,296855,291551,285635,291418,295878,303995,289273,287829
,14,297499,293833,297290,291819,285760,291607,296074,302981,289094,287050
,15,297555,294430,296990,292252,285132,291304,296519,302920,289499,287334
,16,297361,294298,297084,291444,285776,291250,296768,304027,288759,287634
,17,297838,294342,297616,292249,285113,291687,296547,303739,288909,287284
,18,295632,293691,296770,292862,285169,291583,296733,304344,289006,287485
,19,297565,293798,296619,292048,284725,290995,297272,303621,289291,286744
,2,297457,294202,297078,292454,285361,291241,296843,302965,289012,286822
,20,297500,293485,297819,291588,285052,290225,296957,303805,288932,287217
,3,297638,294369,296465,292684,284748,291575,296466,303219,289252,287161
,4,297314,293664,296835,290947,284822,291277,296370,304766,289117,286725
,5,297604,294295,297283,291476,285836,291546,296429,304724,289509,287645
,6,298067,294908,296534,291703,285057,291192,296817,303812,289443,286451
,7,297431,293765,296423,291741,285553,291437,296904,303855,289405,287922
,8,296253,295159,297071,292308,285046,291212,296137,303701,289578,286991
,9,297075,293617,297652,292058,285662,290550,295867,304594,289062,287147
,Min,295632,293485,296234,290947,284309,290225,295536,302920,288639,285950
,Max,298067,295159,297819,292862,285836,292120,297272,304766,289578,287922
,Mean,297144.2,294090.8,297017.8,291918.85,285190.3,291310.55,296481.9,303868.05,289142.7,287170.75
,Std. Dev,627.885809262866,461.376841067781,430.350725999644,472.091123563416,423.140153464173,397.723849581988,421.090551581936,547.040504129168,262.045817608898,475.92611932172
,ARPD,1.49996754943587,1.53806847215125,1.4193764277251,1.4167022766041,1.71817543058711,1.4263058207469,1.71568644268409,1.62403181143232,1.56084145009291,1.36487659898907
100x20,1,376519,378335,370552,386266,370560,377061,367181,380958,377196,384370
,10,376982,377183,370368,386276,370879,378234,366156,382184,376948,384264
,11,376844,377320,368927,386287,369177,376938,366878,382174,375531,384393
,12,376992,378735,370257,386658,371320,378159,368083,382052,376775,384858
,13,376646,378481,369062,385256,370401,378113,366947,381598,376870,384196
,14,377155,377825,370540,386438,370476,378446,366227,381674,376965,383385
,15,376196,378177,369886,385897,370653,377181,365733,382100,377164,383557
,16,375825,377433,369351,385323,369689,376957,367543,382375,377504,383812
,17,376543,376748,370143,386213,369816,377546,368569,381534,375792,383318
,18,374929,377034,369859,386959,370832,378029,367273,381445,377242,383329
,19,376374,376256,369465,386680,369632,377115,366478,382470,376397,384406
,2,377042,378093,370040,386246,371165,378573,366738,382399,377071,384193
,20,376541,377301,370591,384955,370655,377881,367443,382258,376568,384225
,3,376111,377630,369922,386695,370584,378091,367413,380667,378120,384342
,4,376547,377517,369067,386058,369119,377039,367361,382563,376991,384623
,5,376684,377614,371142,385766,369672,378641,368392,381922,377231,383792
,6,375721,378186,371589,386333,370799,378291,367978,381307,376982,383760
,7,376628,377787,370459,386673,369217,378328,367266,381674,376578,383774
,8,377093,378036,370124,386621,371112,378252,367158,380982,376547,384463
,9,376453,377669,370421,385730,369578,377001,366972,382456,376796,384033
,Min,374929,376256,368927,384955,369119,376938,365733,380667,375531,383318
,Max,377155,378735,371589,386959,371320,378641,368569,382563,378120,384858
,Mean,376491.25,377668,370088.25,386166.5,370266.8,377793.8,367189.45,381839.6,376863.4,384054.65
,Std. Dev,539.766799060873,604.462179392383,684.173637163457,536.34400783158,708.278312826994,612.958880736452,728.39871058298,560.033589218211,561.095207232202,442.854172861736
,ARPD,1.24515612016318,1.21185809307885,1.43489295688949,1.15717395461416,1.47604287425215,1.16098731316507,1.54182360196231,1.39990652418687,1.04036913210522,1.29332376810295
200x10,1,1067401,1071115,1053799,1086612,1030889,1071368,1040851,1054714,1070441,1041915
,10,1066105,1068105,1052421,1088254,1034154,1073014,1045253,1054373,1068073,1042900
,11,1064614,1071392,1053799,1085755,1029899,1070949,1044800,1053151,1068745,1043145
,12,1067108,1072517,1053799,1083798,1031284,1071660,1044138,1053437,1068755,1041362
,13,1067021,1070089,1053799,1084956,1028595,1071793,1044342,1052925,1070980,1041773
,14,1063440,1071331,1053377,1085731,1029953,1072539,1045152,1054950,1069974,1043209
,15,1066637,1071044,1052877,1087605,1029705,1071555,1046579,1055376,1066930,1040226
,16,1067748,1073243,1053799,1084919,1030637,1067972,1044916,1055906,1068562,1043408
