,,0,1,2,3,4,5,6,7,8,9
20x5,1,14033,15151,13301,15457,13529,13123,13548,13953,14295,12943
,10,14033,15151,13301,15457,13529,13123,13548,13948,14315,12943
,11,14033,15151,13301,15447,13529,13123,13548,13953,14295,12943
,12,14033,15151,13301,15457,13529,13123,13548,13953,14338,12943
,13,14033,15151,13301,15457,13529,13123,13548,13953,14338,12943
,14,14033,15151,13301,15447,13529,13123,13548,13953,14295,12943
,15,14033,15151,13313,15447,13529,13123,13548,13953,14338,12943
,16,14033,15151,13313,15447,13529,13123,13548,13953,14295,12943
,17,14033,15151,13301,15457,13529,13123,13548,13953,14315,12943
,18,14033,15151,13313,15447,13529,13123,13548,13953,14295,12943
,19,14033,15151,13301,15447,13529,13123,13548,13953,14315,12943
,2,14033,15151,13301,15447,13529,13123,13548,13953,14315,12943
,20,14033,15151,13301,15459,13529,13123,13548,13953,14295,12943
,3,14033,15151,13301,15447,13529,13147,13548,13953,14315,12943
,4,14033,15151,13301,15457,13529,13123,13548,13953,14315,12943
,5,14033,15151,13301,15459,13529,13123,13548,13948,14295,12943
,6,14033,15151,13301,15447,13529,13123,13548,13948,14338,12943
,7,14033,15151,13301,15459,13529,13123,13548,13953,14295,12943
,8,14033,15151,13313,15447,13529,13123,13548,13953,14295,12943
,9,14033,15151,13313,15457,13529,13123,13548,13948,14315,12943
,Min,14033,15151,13301,15447,13529,13123,13548,13948,14295,12943
,Max,14033,15151,13313,15459,13529,13147,13548,13953,14338,12943
,Mean,14033,15151,13304,15452.3,13529,13124.2,13548,13952,14310.6,12943
,Std. Dev.,0,0,5.33113989983183,5.47818640754305,0,5.3665631459995,0,2.05195670417031,16.7470343014737,0
,ARPD,0,0,0.022554695135704,0.034310869424484,0,0.009144250552465,0,0.028677946659019,0.10912906610703,0
20x10,1,20911,22440,19833,18724,18641,19245,18363,20241,20330,21320
,10,20911,22440,19833,18710,18652,19245,18376,20241,20330,21320
,11,20911,22440,19833,18724,18652,19245,18376,20241,20330,21332
,12,20911,22440,19833,18724,18641,19249,18376,20241,20330,21320
,13,20911,22440,19833,18717,18644,19245,18376,20241,20379,21332
