,Repetition\File,0,1,2,3,4,5,6,7,8,9
20x5,1,14033,15151,13301,15447,13529,13123,13548,13948,14295,12943
,10,14033,15151,13301,15447,13529,13123,13548,13948,14295,12943
,11,14033,15151,13301,15447,13529,13123,13548,13948,14295,12943
,12,14033,15151,13301,15447,13529,13123,13548,13948,14295,12943
,13,14033,15151,13301,15447,13529,13123,13548,13948,14295,12943
,14,14041,15151,13301,15447,13529,13123,13548,13948,14295,12943
,15,14033,15151,13301,15447,13529,13123,13548,13948,14295,12943
,16,14033,15151,13301,15447,13529,13123,13548,13948,14295,12943
,17,14033,15151,13301,15447,13529,13123,13548,13948,14295,12943
,18,14033,15151,13301,15459,13529,13123,13548,13948,14295,12943
,19,14033,15151,13301,15447,13529,13123,13548,13948,14295,12943
,2,14033,15151,13301,15447,13529,13123,13548,13948,14295,12943
,20,14033,15151,13301,15447,13529,13123,13548,13948,14295,12943
,3,14033,15151,13301,15447,13529,13123,13548,13948,14295,12943
,4,14033,15151,13301,15447,13529,13123,13548,13948,14295,12943
,5,14033,15151,13301,15447,13529,13123,13548,13948,14295,12943
,6,14033,15151,13301,15447,13529,13123,13548,13948,14295,12943
,7,14033,15151,13301,15447,13529,13123,13548,13948,14295,12943
,8,14033,15151,13301,15447,13529,13123,13548,13948,14295,12943
,9,14033,15151,13301,15447,13529,13123,13548,13948,14295,12943
,Min,14033,15151,13301,15447,13529,13123,13548,13948,14295,12943
,Max,14041,15151,13301,15459,13529,13123,13548,13948,14295,12943
,Mean,14033.4,15151,13301,15447.6,13529,13123,13548,13948,14295,12943
,Std. Dev.,1.78885438199983,0,0,2.68328157299975,0,0,0,0,0,0
,ARPD,0.00285042400057,0,0,0.003884249368809,0,0,0,0,0,0
20x10,1,20911,22440,19833,18717,18641,19245,18376,20241,20330,21320
,10,20911,22440,19833,18710,18644,19249,18363,20241,20330,21320
,11,20911,22440,19833,18710,18641,19249,18363,20241,20330,21320
,12,20911,22440,19833,18710,18641,19249,18363,20241,20330,21320
,13,20911,22440,19833,18710,18644,19249,18363,20241,20330,21320
,14,20911,22440,19833,18717,18644,19245,18376,20241,20330,21320
,15,20911,22440,19833,18710,18644,19249,18363,20241,20330,21320
,16,20911,22440,19833,18710,18644,19311,18363,20241,20330,21320
,17,20911,22440,19833,18710,18644,19249,18363,20241,20330,21320
