,,0,1,2,3,4,5,6,7,8,9
20x5,1,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,10,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,11,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,12,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,13,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,14,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,15,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,16,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,17,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,18,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,19,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,2,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,20,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,3,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,4,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,5,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,6,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,7,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,8,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,9,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,Min,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,Max,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,Mean,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,Std. Dev,0,0,0,0,0,0,0,0,0,0
,ARPD,0,0,0,0,0,0,0,0,0,0
20x10,1,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,10,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,11,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,12,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,13,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,14,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,15,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,16,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,17,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,18,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,19,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,2,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,20,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,3,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,4,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,5,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,6,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,7,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,8,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,9,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,Min,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,Max,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,Mean,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,Std. Dev,0,0,0,0,0,0,0,0,0,0
,ARPD,0,0,0,0,0,0,0,0,0,0
20x20,1,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,10,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,11,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,12,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,13,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,14,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,15,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,16,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,17,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,18,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,19,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,2,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,20,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,3,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,4,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,5,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,6,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,7,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,8,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,9,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,Min,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,Max,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,Mean,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,Std. Dev,0,0,0,0,0,0,0,0,0,0
,ARPD,0,0,0,0,0,0,0,0,0,0
50x5,1,66721,67752,76801,62823,67526,67293,63360,65068,64363,63304
,10,66688,67611,76827,62830,67671,67251,63313,65233,64325,63124
,11,66687,67607,76815,62818,67559,67178,63341,65031,64300,63206
,12,66737,67583,76801,62774,67554,67322,63315,65213,64363,63124
,13,66725,67662,76815,62648,67544,67258,63342,65028,64492,63258
,14,66653,67529,76917,62769,67569,67172,63404,65028,64329,63195
,15,66680,67616,76801,62648,67619,67239,63734,65175,64300,63280
,16,66802,67539,76815,62830,67575,67268,63268,65181,64272,63197
,17,66651,67721,76898,62669,67537,67251,63275,64920,64657,63260
,18,66754,67541,76897,62648,67554,67172,63446,65205,64371,63164
,19,66562,67455,76898,62769,67500,67283,63319,65160,64485,63124
,2,66590,67515,76897,62648,67658,67285,63614,65028,64494,63240
,20,66620,67613,76801,62864,67655,67226,63373,65028,64397,63217
,3,66726,67525,76801,62844,67559,67186,63337,65179,64305,63183
,4,66618,67580,76801,62821,67559,67332,63443,65106,64325,63183
,5,66562,67511,76801,62829,67575,67178,63417,65187,64310,63302
,6,66594,67588,76801,62648,67567,67239,63462,65140,64309,63245
,7,66630,67540,76801,62797,67633,67251,63310,65130,64805,63183
,8,66572,67741,76801,62754,67559,67172,63421,65068,64300,63346
,9,66813,67562,76801,62830,67605,67251,63501,65094,64320,63174
,Min,66562,67455,76801,62648,67500,67172,63268,64920,64272,63124
,Max,66813,67752,76917,62864,67671,67332,63734,65233,64805,63346
,Mean,66669.25,67589.55,76829.5,62763.05,67578.9,67240.35,63399.75,65110.1,64391.1,63215.45
,Std. Dev,76.5862946375903,79.4046763835667,43.3620013133012,79.790828519257,46.3611679613105,50.3328656885444,115.109501642658,83.2105129997659,135.934155887481,62.9439809421211
,ARPD,0.161127970914336,0.266355140186916,0.037108891811305,0.1836451283361,0.116888888888889,0.101753706901685,0.243098377763021,0.292821934688848,0.216491315445434,0.144873582155757
50x10,1,84933,88391,85774,87214,88735,88966,84727,87014,87050,93310
,10,85254,87996,85929,87397,88664,89331,84671,86740,86934,93342
,11,85118,88165,85808,87512,88800,89465,84657,86599,86856,93318
,12,85076,88105,86323,87556,89032,88985,84811,86638,87060,93442
,13,85233,88044,85696,87334,88754,88749,84531,86636,86835,93283
,14,85283,88199,86218,87250,88611,89000,84365,87040,87065,93262
,15,85048,88078,85562,87456,88611,89088,84520,86483,86767,93287
,16,85066,88170,86153,87421,89390,89054,84757,86739,86919,93330
,17,85316,88213,86107,87899,88683,88821,84611,86695,86964,93148
,18,84997,88014,86084,87446,89208,89087,84733,86741,86804,93356
,19,85236,88421,85655,87404,88677,89234,84621,86697,86884,93456
,2,84833,88173,85583,87140,88856,88888,84362,86617,86885,93324
,20,84818,88149,85912,87398,88877,88836,84475,86483,86959,93286
,3,85025,88015,85871,87613,88827,88948,84425,86941,87052,93720
,4,84799,88311,85437,87500,88665,88982,84464,86623,86830,93286
,5,85255,87934,85648,87233,88864,89143,84691,86744,87286,93565
,6,85124,88026,85599,87537,88691,89013,84260,86792,86935,93152
,7,84964,88242,85739,87338,88651,88976,84453,86619,86881,93308
,8,85577,87939,86141,87241,88677,89279,84761,86627,87034,93218
,9,84849,88255,85733,87351,88762,89186,84489,86623,87180,93460
,Min,84799,87934,85437,87140,88611,88749,84260,86483,86767,93148
,Max,85577,88421,86323,87899,89390,89465,84811,87040,87286,93720
,Mean,85090.2,88142,85848.6,87412,88801.75,89051.55,84569.2,86704.55,86959,93342.65
,Std. Dev,200.269450070596,139.286149989679,250.350575246624,170.344542495188,202.119525606951,180.371684964249,156.335536587175,150.447569115063,130.442163025369,134.013854350566
,ARPD,0.34340027594665,0.502844893444773,0.493520783827127,0.52902750943049,0.304692088736276,0.595940084045005,0.366959411345834,0.25617751465606,0.239766688568431,0.336074384607116
50x20,1,123226,115781,125549,124279,124634,121435,126141,122454,126006,126515
,10,123233,115828,125621,124628,124686,121350,125864,122508,126353,126820
,11,123182,115701,125561,124031,124680,121564,125677,122513,126143,126459
,12,123004,115687,125847,124647,124610,121529,125796,122716,125888,126686
,13,122956,115424,125517,124013,125095,121501,125400,122387,125999,126724
,14,123618,115470,125716,124089,125095,121673,125693,122211,126342,126296
,15,123096,115497,125691,124217,125526,121950,126000,122335,126013,126635
,16,123384,116067,125931,124399,124990,121597,125469,122709,126258,126642
,17,123203,115894,125742,124258,125020,121568,125836,121932,126297,126707
,18,123376,115752,125964,124493,125271,121539,126177,122330,125894,126499
,19,123244,115387,125599,124210,125247,122130,126171,122143,126356,126410
,2,123073,115518,125666,124343,124738,121812,125680,122288,126345,126388
,20,123351,115606,125634,123917,125153,121519,125882,122332,126298,126766
,3,123460,116120,125681,124598,124832,121346,125944,122273,126037,126266
,4,123672,115603,125593,124379,125254,121776,126202,122557,126361,126973
,5,123308,115465,125641,124408,125052,121672,125791,122667,126020,126592
,6,123073,115557,125609,124537,124695,121582,125616,122203,126370,126531
,7,123060,115542,126352,124375,125127,121516,126206,122286,126033,126332
,8,122956,115791,125679,124000,124787,121779,125627,122449,126212,127038
,9,123029,115666,125906,124465,124709,121357,126214,122477,126126,126610
,Min,122956,115387,125517,123917,124610,121346,125400,121932,125888,126266
,Max,123672,116120,126352,124647,125526,122130,126214,122716,126370,127038
,Mean,123225.2,115667.8,125724.95,124314.3,124960.05,121609.75,125869.3,122388.5,126167.55,126594.45
,Std. Dev,205.853959475107,203.069238905044,195.129504904334,220.24677547075,262.729493666214,201.062408483692,255.992413538905,197.284059163431,169.330718138391,210.587517748747
,ARPD,0.369139543218323,0.332916970264738,0.329537474463739,0.453564762066374,0.372742899370261,0.268584479403714,0.470386334610472,0.374389003706984,0.65381976577209,0.394497886547658
100x5,1,247635,259186,239830,248249,262812,229205,244227,239661,257079,253601
,10,246800,259532,239920,248050,263353,229249,244052,239286,256878,253786
,11,247168,258930,239803,248446,262817,229545,243815,239384,257193,253960
,12,247122,259099,239920,248475,262876,229584,243361,239466,257132,253793
,13,247386,259151,240252,248286,263280,229472,244109,239142,257170,253746
,14,247442,258956,240427,248217,263281,229465,244197,239290,256795,253710
,15,247143,258903,240045,248161,262917,229599,243409,239236,257517,253497
,16,247159,258895,240302,248028,263079,229873,243863,239375,256932,253411
,17,247231,258955,240493,248347,262945,229590,244012,239245,257118,253541
,18,247372,258896,240358,248594,263116,229662,244241,239524,257284,253900
,19,247491,258834,240258,248252,262825,229200,244015,239217,257355,254000
,2,247486,259535,239603,248307,263189,229314,243685,239355,257124,253644
,20,247433,259185,239967,248096,263115,229751,243997,239634,257380,253809
,3,247331,259095,239724,248409,263282,229600,243687,239529,256977,253918
,4,247475,259214,240160,248128,263255,229304,243931,239919,257075,254141
,5,247324,259059,239930,248577,263143,229433,243853,239344,257151,253843
,6,247321,258863,239890,248368,263176,229485,244038,239418,256995,253584
,7,247272,259060,240433,248345,263038,229284,243935,239501,257185,253764
,8,247247,258922,240097,248630,263161,229453,243926,239713,256930,253402
,9,247474,258791,240231,248327,263169,229168,243704,239600,257539,253358
,Min,246800,258791,239603,248028,262812,229168,243361,239142,256795,253358
,Max,247635,259535,240493,248630,263353,229873,244241,239919,257539,254141
,Mean,247315.6,259053.05,240082.15,248314.6,263091.45,229461.8,243902.85,239441.95,257140.45,253720.4
,Std. Dev,184.067893652544,206.79114177302,256.505724774527,174.756191065694,171.678854106638,193.99148109348,241.436550453192,195.208518742071,200.409967973546,213.755984834651
,ARPD,0.251159321594189,0.120603228711337,0.199976628005492,0.145430200763045,0.106330761152459,0.145245691291805,0.272096398222339,0.247833368222734,0.134523647267275,0.176251806344117
100x10,1,294442,290779,293886,288339,281724,287363,293075,299956,285549,284351
,10,294112,291430,293682,288440,281120,287942,292790,300090,285906,284871
,11,293145,290290,293120,288952,282911,287977,292480,299012,285001,284408
,12,293504,290721,294955,288350,282741,288072,292461,299332,285247,283460
,13,293107,290631,294187,288234,281828,288464,292464,299728,284883,284278
,14,293458,290194,293335,289524,282335,288015,292042,300117,285478,284357
,15,293644,291158,293625,288515,281859,287329,293505,299739,285699,284482
,16,293083,291546,293744,289486,280373,288023,291488,300684,285358,283835
,17,293332,290477,293910,288055,280840,288025,293117,299536,285286,283345
,18,293652,290583,293196,288852,280922,287303,293174,300062,284952,283456
,19,294284,290931,293378,288235,281635,287982,293622,300089,285608,283609
,2,293668,290742,294011,288336,282564,288496,293803,299762,285715,284416
,20,294287,290968,293736,288870,281073,287214,292400,300328,285855,284365
,3,293959,290665,293179,288838,280980,288224,293058,301157,285399,283663
,4,293434,291259,293752,288686,281160,288481,292148,300178,285619,283704
,5,293300,290593,293407,288091,281215,288280,292002,299797,286150,284161
,6,292753,290975,293252,287953,281266,287224,292312,300498,285710,283817
,7,294034,291190,294177,288153,281899,288044,293094,300550,285511,284918
,8,294534,289868,293638,288157,281628,287890,292570,300555,285082,284523
,9,293883,291611,293084,288764,282245,289175,292323,299378,285343,284153
,Min,292753,289868,293084,287953,280373,287214,291488,299012,284883,283345
,Max,294534,291611,294955,289524,282911,289175,293803,301157,286150,284918
,Mean,293680.75,290830.55,293662.7,288541.5,281615.9,287976.15,292696.4,300027.4,285467.55,284108.6
,Std. Dev,498.048811283646,453.436292165318,456.981987437257,446.781884851634,688.845938012114,501.424525988865,598.232255548752,517.549021324245,334.081218457901,467.506757620735
,ARPD,0.316905377570853,0.412431465701778,0.273747614055815,0.243363523611994,0.443302315130202,0.265359627316217,0.416974005166718,0.339585033376587,0.269951773627586,0.284005873549262
100x20,1,373122,374227,365631,383485,365895,374399,364994,378280,374186,379179
,10,373282,374555,365506,383911,367610,373631,365094,378730,374593,380667
,11,374656,374602,364853,383309,366967,374386,365323,378173,374986,380197
,12,373365,374986,366590,384939,366169,373878,364264,377224,374708,379201
,13,373616,373307,367101,382657,366660,374576,364983,379490,374820,379525
,14,373612,374515,366878,382485,366135,374375,364660,376568,373519,380053
,15,374542,373915,366575,383137,367883,374056,365903,377900,374364,379877
,16,373489,374926,366475,383277,365079,374426,364850,378154,373195,380322
,17,373419,373146,366780,384419,367484,373598,364532,377363,374135,380404
,18,374044,374790,367070,383257,367085,374905,363845,377197,373998,381517
,19,373827,374614,366209,383174,366613,375230,363848,376994,374262,379485
,2,373831,374365,366058,383022,365142,374697,363562,378204,373021,380612
,20,374166,374630,367847,383078,367246,374285,363244,376925,373862,380342
,3,372508,375155,365981,382962,366495,374813,362890,378380,373818,381280
,4,374786,374760,366666,383318,365254,374498,366052,377447,374103,380377
,5,374205,373585,365947,383495,366321,374273,362592,379063,374352,381791
,6,373043,374063,365288,382693,365972,374327,365841,378219,374098,380812
,7,373053,374421,366118,383239,366665,373940,365033,378991,373672,380486
,8,373973,374711,366373,383379,365442,373889,363674,378919,373323,380551
,9,372769,374778,366547,381749,366029,374473,364227,376663,373085,381130
,Min,372508,373146,364853,381749,365079,373598,362592,376568,373021,379179
,Max,374786,375155,367847,384939,367883,375230,366052,379490,374986,381791
,Mean,373665.4,374402.55,366324.65,383249.25,366407.3,374332.75,364470.55,377944.2,374005,380390.4
,Std. Dev,622.97616749211,547.712993897544,691.793038339312,668.079247978073,820.795192096312,416.277219751706,985.562221326114,858.020279480619,570.697818464378,717.474840930622
,ARPD,0.485235074396078,0.336744866620572,0.403354227593031,0.392993825786053,0.418300761070048,0.234229819685212,0.789944526484041,0.365458562596928,0.274007126330154,0.326888231865405
200x10,1,1052869,1056690,1044666,1072226,1018170,1057201,1030560,1039446,1057470,1028906
,10,1054842,1056776,1040952,1072429,1015983,1058705,1031157,1039039,1057199,1029260
,11,1053399,1055196,1040710,1071448,1019600,1061644,1031368,1040406,1056335,1030348
,12,1055848,1054872,1041425,1073533,1016420,1057535,1029950,1039347,1056116,1030427
,13,1053226,1054352,1045088,1071243,1016931,1060175,1029762,1040979,1056639,1031603
,14,1053004,1056540,1040696,1073116,1017307,1059371,1030506,1037885,1056299,1029495
,15,1056732,1056186,1041346,1072962,1018486,1058893,1030788,1040775,1058082,1029145
,16,1053923,1055533,1044793,1072863,1017526,1060477,1031244,1040716,1054902,1027966
