,,0,1,2,3,4,5,6,7,8,9
20x5,1,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,10,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,11,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,12,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,13,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,14,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,15,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,16,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,17,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,18,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,19,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,2,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,20,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,3,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,4,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,5,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,6,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,7,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,8,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,9,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,Best,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
,Mean,12570,12406,13089,13233,13903,13177,13478,13591,12257,13082
20x10,1,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,10,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,11,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,12,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,13,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,14,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,15,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,16,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,17,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,18,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,19,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,2,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,20,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,3,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,4,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,5,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,6,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,7,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,8,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,9,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,Best,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
,Mean,20580,20147,18374,19468,19489,22545,19787,19388,20441,21776
20x20,1,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,10,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,11,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,12,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,13,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,14,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,15,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,16,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,17,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,18,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,19,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,2,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,20,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,3,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,4,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,5,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,6,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,7,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,8,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,9,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,Best,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
,Mean,34319,32495,32091,34011,32508,32916,33237,33174,33146,32216
50x5,1,66769,67669,76801,62919,67626,67274,63514,65114,64343,63313
,10,66626,67532,76815,62843,67689,67284,63410,65221,64352,63156
,11,66709,67514,76801,62826,67735,67244,63306,65098,64325,63201
,12,66918,67655,76801,62841,67561,67274,63465,65217,64277,63257
,13,66562,67667,76801,62648,67652,67186,63775,65191,64636,63290
,14,66791,67493,76890,62866,67736,67274,63469,65083,64296,63223
,15,66620,67576,76815,62844,67710,67186,63442,65228,64429,63204
,16,66774,67659,76801,62648,67564,67249,63268,65034,64252,63228
,17,66653,67457,76898,62769,67526,67226,63607,65013,64305,63282
,18,66791,67652,76815,62856,67517,67294,63567,65225,64436,63259
,19,66747,67537,76801,62821,67738,67178,63519,65000,64458,63217
,2,66883,67530,76815,62648,67609,67186,63266,65028,64335,63197
,20,66911,67499,76841,62774,67575,67178,63487,65116,64348,63156
,3,66638,67450,76852,62906,67569,67178,63415,65250,64487,63144
,4,66867,67524,76801,62754,67520,67239,63523,64920,64337,63218
,5,66562,67457,76801,62838,67668,67239,63394,65081,64321,63338
,6,66703,67546,76801,62829,67521,67261,63350,65133,64329,63330
,7,66717,67516,76815,62648,67762,67261,63608,65068,64305,63239
,8,66832,67533,76801,62769,67641,67284,63398,65019,64296,63223
,9,66868,67455,76801,62648,67712,67229,63336,65116,64333,63184
,Best,66562,67450,76801,62648,67517,67178,63266,64920,64252,63144
,Mean,66747.05,67546.05,76818.35,62784.75,67631.55,67236.2,63455.95,65107.75,64360,63232.95
50x10,1,85055,88401,85626,87322,88823,88883,84621,87089,86838,93072
,10,84918,88323,85948,87266,88677,89321,84664,86632,86908,93225
,11,85274,88129,85869,87419,88741,89086,84576,86965,87065,93283
,12,85026,88116,86148,87269,88771,88953,84416,86998,87030,93232
,13,85176,88170,86066,87827,88901,89121,84774,86646,86921,93030
,14,84941,88151,85825,87648,88693,89164,84676,86559,87080,93150
,15,85061,88232,85878,86952,88869,89003,84443,86800,87231,93419
,16,85262,88236,85641,87325,88737,88769,84456,86932,87113,93466
,17,85089,88218,86066,87279,89138,89076,84445,86607,86916,93447
,18,85015,88316,86265,87352,88911,88933,84435,87025,86923,93767
,19,85311,88210,85649,87342,88621,88879,84526,86823,86840,93351
,2,85308,87985,85718,87530,88646,88854,84761,87001,87036,93193
,20,85085,88019,86064,87122,88921,88783,84624,86536,86845,93412
,3,85149,88038,85747,87339,88827,89010,84738,86710,87046,93261
,4,85182,88277,85693,87248,88808,88930,84377,86693,87036,93188
,5,85112,87985,85908,87593,88815,89094,84576,86787,87118,93153
,6,85015,88375,85779,87543,88733,88971,84516,86711,87149,93425
,7,85161,88193,85804,87468,88611,88822,84626,86749,87032,93180
,8,85361,87994,85472,87481,88621,88954,84467,86849,87046,93254
,9,85246,87972,85544,87556,88934,89125,84776,86806,86920,93341
,Best,84918,87972,85472,86952,88611,88769,84377,86536,86838,93030
,Mean,85137.35,88167,85835.5,87394.05,88789.9,88986.55,84574.65,86795.9,87004.65,93292.45
50x20,1,123079,115490,125529,124649,124947,121607,125792,122398,126328,126746
,10,123265,115512,125773,124368,125379,121535,126030,122402,126664,126784
,11,123050,115981,125659,124010,125223,121847,125846,122257,126129,126876
,12,123729,116157,125550,124748,124906,122102,125596,122302,126718,126596
,13,123136,115456,125557,123944,125057,121567,125752,122544,125979,126416
,14,123226,115859,125636,124689,125408,121630,125659,122057,125951,126808
,15,122886,115435,126017,123896,125114,121882,125772,122368,126302,126489
,16,123023,115690,125927,124162,125224,122086,126031,122502,125650,126960
,17,123071,115735,125682,123864,124598,121639,125571,122250,126470,126576
,18,122941,115874,125661,124440,125189,121350,126143,122337,126087,126713
,19,123460,115551,125312,124685,125361,121357,125549,122182,126481,126328
,2,123181,115860,125644,124069,125203,121819,125878,122663,125797,126464
,20,123675,115728,125709,124671,124905,121724,125673,122818,126319,127147
,3,123436,115284,125604,123964,125780,121853,125763,122724,126029,126807
,4,123510,115505,126214,124410,125004,122136,125778,122359,126007,126780
,5,123528,115694,125621,124288,124863,121346,125700,122551,126252,126349
,6,123076,115486,125602,124290,124763,122080,125952,122373,126353,126864
,7,123154,115673,125778,123925,124959,121381,125869,122381,126005,126861
,8,123269,115885,125615,124328,124731,121853,125656,122245,126095,126179
,9,123167,115825,125636,124174,124987,121394,126263,122716,125987,126452
,Best,122886,115284,125312,123864,124598,121346,125549,122057,125650,126179
,Mean,123243.1,115684,125686.3,124278.7,125080.05,121709.4,125813.65,122421.45,126180.15,126659.75
100x5,1,247181,259127,240422,248170,263316,229060,244401,239404,257003,253443
,10,247594,259060,240072,248455,262736,230009,243915,239798,257264,253729
,11,247072,259059,241203,248231,263013,229939,244023,239648,257652,254216
,12,247349,259095,240193,248165,262702,229810,244211,239629,256858,253630
,13,247739,258986,240453,248650,263071,230120,244106,239141,257785,253791
,14,246724,259184,240674,248164,262784,229790,244173,239724,256773,253534
,15,247213,259660,239995,248577,263132,229427,243883,239215,257244,253717
,16,247496,259621,240410,248435,263340,229267,244122,239868,257089,254133
,17,247203,259115,239958,248242,263422,229798,244167,239266,256952,253521
,18,246995,259306,240530,248725,263036,229407,243463,239526,257415,253724
,19,247541,259101,240039,248596,263323,229916,244459,239161,257106,253421
,2,247675,259121,240146,248914,263147,229593,244194,239760,257432,253536
,20,247424,259500,240164,248482,263010,229099,243927,239593,257299,253652
,3,246885,259490,240420,248424,263138,229544,244011,239500,257259,254512
,4,247106,258825,240077,248215,263103,229408,243627,239681,257446,254292
,5,247353,259091,240387,248242,263606,229427,243509,239393,257429,253707
,6,247481,258942,240187,248705,263086,229675,244114,239263,256915,253486
,7,247169,258775,239877,248689,263026,229360,243882,239381,257282,253408
,8,247617,259591,239745,248743,263192,229922,243734,239794,257313,253965
,9,247108,258719,240317,248522,263307,229556,244316,239306,257527,253369
,Best,246724,258719,239745,248164,262702,229060,243463,239141,256773,253369
,Mean,247296.25,259168.4,240263.45,248467.3,263124.5,229606.35,244011.85,239502.55,257252.15,253739.3
100x10,1,295661,291629,294218,288754,280986,289258,292154,300152,285333,284151
,10,295286,291381,293620,289671,282579,288984,292902,300779,286639,283917
,11,295395,291090,293398,288917,282130,288228,293467,300281,286227,284959
,12,293457,291971,294607,289905,283263,287927,293864,300740,286518,284054
,13,294910,291994,294198,288653,281273,288502,293043,300700,286940,284458
,14,293293,290700,294529,291150,282302,288456,292986,300761,286707,283709
,15,294810,293156,294231,289852,282776,287853,293263,301336,286138,284639
,16,294157,291329,293515,290099,282705,290240,292814,300831,285880,284666
,17,294491,292160,293550,288946,283236,289116,293279,300363,285640,283590
,18,294589,291651,294235,289320,281897,289454,293038,300515,285764,285199
,19,296767,292519,293911,290550,282453,288762,293309,301581,285249,284422
,2,295861,290896,294490,288988,282076,288582,292693,299915,286416,283385
,20,294130,293136,295254,288431,285899,288025,293438,302293,287257,284142
,3,295590,291822,293928,288958,282994,289696,292443,300185,285741,284412
,4,295923,291929,295230,289239,281903,289539,292880,301497,285846,286144
,5,296219,292857,294577,288462,282167,288576,293364,300661,285790,285772
,6,293816,291420,294441,289640,282441,288989,292811,301704,286500,285776
,7,295775,293351,296020,288759,281724,288419,292202,301630,285610,283677
,8,295793,291097,294412,290769,282331,289736,293321,300193,286881,285398
,9,293930,291759,293748,289006,282596,288619,295071,299261,285375,284607
,Best,293293,290700,293398,288431,280986,287853,292154,299261,285249,283385
,Mean,294992.65,291892.35,294305.6,289403.45,282486.55,288848.05,293117.1,300768.9,286122.55,284553.85
100x20,1,372062,374009,367877,384744,368917,373696,365265,378321,375171,381238
,10,374318,374152,365285,383263,367500,374081,365072,379236,374709,381060
,11,376547,376947,368042,385615,367108,375099,364126,380262,374594,381466
,12,374071,374699,368636,383233,364924,375847,364775,377835,375802,380277
,13,374090,376246,367085,383710,367275,375010,365469,378522,374653,380217
,14,373173,376406,368500,384113,367069,377062,365724,379048,373740,380993
,15,375278,374265,368130,382892,367824,374808,365089,379735,374560,382907
,16,375559,375713,367411,384546,368655,375809,363164,379575,374385,383257
,17,373466,374683,367290,385107,366578,375111,363945,378937,374547,381986
,18,373734,376019,366628,384816,367333,376532,365358,379420,374721,381400
,19,373491,375732,366564,384072,368293,375794,362589,379466,374469,380805
,2,374851,373684,366532,385082,369457,374989,366490,379559,373068,381190
,20,373855,374132,366792,382265,366340,375243,365011,377055,375356,380147
,3,374807,374416,368327,384168,368062,375084,365764,378880,374840,382509
,4,374743,375245,368053,382065,367334,376474,365678,379928,374148,382440
,5,374951,376473,368330,381598,368242,375878,364071,378486,373722,380840
,6,373630,375586,367283,384559,365858,374924,364814,378538,374938,382074
,7,374460,375756,367205,384647,368449,377061,364497,378186,374347,381456
,8,373224,375385,368319,384891,367679,374614,365879,379911,374043,380543
,9,373558,374170,367301,384829,368080,378652,363765,380433,375196,381169
,Best,372062,373684,365285,381598,364924,373696,362589,377055,373068,380147
,Mean,374193.4,375185.9,367479.5,384010.75,367548.85,375588.4,364827.25,379066.65,374550.45,381398.7
200x10,1,1056285,1070066,1049648,1077625,1025748,1068515,1037149,1046554,1063971,1040495
,10,1058986,1072169,1051796,1075518,1026117,1065579,1037908,1045648,1061906,1037171
,11,1062400,1063767,1050814,1075689,1023395,1061835,1039993,1048977,1067324,1041159
,12,1056909,1063130,1050837,1081481,1024136,1074611,1043994,1049199,1064306,1036856
,13,1062529,1068350,1051048,1076955,1029324,1067311,1039651,1044230,1061838,1039047
,14,1057846,1068810,1049881,1076380,1023480,1067859,1043322,1049100,1063099,1033358
,15,1062844,1067340,1050236,1077610,1023948,1069518,1044632,1046166,1062614,1035579
,16,1057381,1069570,1047576,1079431,1024434,1064033,1044275,1047405,1064414,1038728
,17,1057525,1064816,1051119,1078842,1024956,1073396,1040686,1044849,1065242,1037723
,18,1058549,1068686,1052660,1076611,1023107,1062606,1042591,1049421,1064079,1039122
,19,1056013,1062666,1047642,1082222,1027855,1067217,1040667,1046097,1059578,1035464
,2,1058425,1068872,1055561,1082443,1024889,1068029,1045899,1048720,1067386,1040113
,20,1055526,1064890,1055213,1078047,1024667,1069231,1039709,1046274,1062596,1036271
,3,1062185,1068787,1052539,1079713,1024956,1076383,1039905,1043815,1061272,1039581
,4,1062235,1067566,1050548,1080198,1026109,1066402,1042918,1043772,1065022,1039394
,5,1058798,1063558,1051976,1079359,1022380,1065744,1043604,1047096,1060959,1034152
,6,1061408,1067815,1051796,1076847,1022721,1069628,1040560,1049330,1063733,1042000
,7,1061203,1064956,1053186,1080485,1025661,1070549,1039615,1046642,1065016,1038599
,8,1063682,1063413,1048559,1077647,1022598,1069701,1043882,1049328,1064937,1041138
,9,1061816,1068019,1046384,1079807,1029077,1064463,1037828,1047011,1059635,1039693
,Best,1055526,1062666,1046384,1075518,1022380,1061835,1037149,1043772,1059578,1033358
,Mean,1059627.25,1066862.3,1050950.95,1078645.5,1024977.9,1068130.5,1041439.4,1046981.7,1063446.35,1038282.15
200x20,1,1267480,1285550,1269520,1248519,1252445,1261585,1254429,1269060,1248129,1242000
,10,1267465,1283769,1271391,1248670,1253085,1257627,1254152,1264967,1250822,1247917
,11,1263163,1285809,1265306,1248376,1258390,1256736,1255452,1263747,1254513,1239355
,12,1262799,1279583,1266653,1247952,1257394,1259133,1252691,1267644,1257562,1241860
,13,1264149,1283893,1268460,1243615,1259992,1258757,1257953,1270286,1252311,1243329
,14,1258923,1283165,1265479,1251327,1259256,1255895,1255045,1263013,1253220,1244181
,15,1262058,1287871,1265784,1249945,1255105,1255821,1248410,1262787,1255519,1240910
,16,1261914,1282910,1265954,1251096,1258524,1259888,1254323,1266016,1254925,1244438
,17,1264649,1283244,1270046,1248544,1256218,1261008,1250822,1263866,1248868,1243337
,18,1266806,1282606,1272248,1246303,1256623,1256916,1255329,1264079,1248936,1246600
,19,1264581,1280581,1266651,1241697,1257417,1262669,1255299,1269730,1256725,1236619
,2,1261264,1293156,1272166,1248514,1254439,1258372,1249457,1266412,1248375,1240789
,20,1260655,1279498,1272545,1246242,1253809,1256227,1248515,1263386,1250614,1248415
,3,1268062,1289189,1265899,1240601,1250228,1257471,1248759,1262809,1252193,1243894
,4,1267490,1282576,1273269,1251287,1248646,1257563,1252685,1267892,1252503,1243579
,5,1263792,1284037,1272815,1248748,1253797,1259557,1253582,1265991,1256095,1243663
,6,1262153,1280331,1272599,1248256,1251090,1258008,1251428,1267741,1253776,1240064
,7,1264619,1278756,1262096,1247554,1247915,1259646,1256314,1261304,1256304,1251643
,8,1265220,1284696,1264674,1250405,1254888,1258877,1258466,1270683,1256016,1244002
