,,0,1,2,3,4,5,6,7,8,9
20x5,1,14077,15199,13317,15514,13589,13123,13588,13948,14295,12984
,10,14060,15211,13301,15512,13529,13123,13666,14014,14295,12943
,11,14060,15211,13301,15558,13618,13123,13687,13999,14359,12984
,12,14060,15187,13356,15505,13529,13139,13618,14013,14295,12943
,13,14033,15187,13471,15515,13529,13123,13725,13948,14295,12976
,14,14060,15237,13365,15534,13529,13182,13618,13968,14295,12943
,15,14041,15238,13365,15478,13589,13139,13633,13968,14295,13047
,16,14077,15349,13454,15566,13529,13182,13671,13957,14346,13020
,17,14056,15314,13380,15515,13529,13123,13559,13948,14295,12984
,18,14056,15211,13365,15549,13596,13123,13644,13968,14295,13002
,19,14054,15238,13356,15478,13589,13123,13816,13948,14295,13033
,2,14033,15279,13423,15552,13529,13139,13559,13968,14359,13020
,20,14080,15211,13407,15459,13529,13123,13760,13968,14507,13047
,3,14060,15211,13317,15512,13529,13123,13576,13999,14359,13033
,4,14041,15159,13334,15447,13529,13139,13655,14013,14295,13002
,5,14077,15196,13317,15512,13618,13123,13752,13948,14359,12976
,6,14060,15187,13317,15459,13529,13123,13660,13968,14295,13099
,7,14060,15221,13372,15596,13529,13123,13618,13968,14295,12943
,8,14060,15187,13365,15515,13589,13123,13618,13972,14295,13024
,9,14060,15238,13459,15496,13618,13139,13680,13968,14295,13036
,Min,14033,15159,13301,15447,13529,13123,13559,13948,14295,12943
,Max,14080,15349,13471,15596,13618,13182,13816,14014,14507,13099
,Mean,14058.25,15223.55,13367.1,15513.6,13557.7,13132.9,13655.15,13972.55,14320.95,13001.95
,Std. Dev.,13.4824447259936,45.5763962456099,52.2331816296681,38.375430736482,37.1187284264965,18.1829880006444,68.2674886018228,22.7236834486331,51.5348374760629,42.2504749272591
,ARPD,0.179933015035987,0.478846280773546,0.49695511615668,0.431151679937852,0.212136891122773,0.075440067057837,0.790891644523177,0.17601089761973,0.181532004197272,0.455458549022638
20x10,1,20980,22440,19877,18747,18652,19351,18377,20446,20330,21361
,10,20955,22440,19877,18911,18713,19351,18448,20241,20346,21424
,11,21049,22440,19877,18833,18713,19553,18462,20275,20348,21332
,12,21042,22440,19916,18828,18713,19343,18448,20345,20330,21434
,13,21042,22649,19916,18908,18713,19369,18480,20542,20586,21320
,14,21011,22559,19877,18833,18713,19359,18698,20275,20330,21323
,15,21021,22440,19833,18911,18809,19540,18480,20275,20417,21332
,16,20958,22440,19916,18841,18713,19357,18462,20309,20346,21332
,17,20911,22679,19877,18793,18722,19351,18448,20362,20330,21335
,18,21049,22559,19997,18934,18652,19350,18448,20446,20330,21434
,19,21042,22591,19943,18943,18739,19351,18363,20309,20346,21335
,2,21011,22752,19877,18813,18713,19351,18376,20309,20441,21323
,20,21021,22724,19833,18750,18739,19359,18571,20429,20330,21335
,3,21021,22559,19916,18908,18652,19553,18462,20275,20330,21412
,4,21011,22559,19917,18779,18713,19388,18376,20345,20417,21424
,5,21021,22834,19916,18943,18747,19390,18448,20341,20346,21323
,6,21077,22440,19877,18821,18690,19359,18462,20275,20348,21548
,7,20958,22794,19877,18955,18652,19249,18376,20241,20639,21320
,8,21021,22440,19833,18785,18652,19390,18448,20354,20346,21335
,9,20911,22440,19943,18785,18713,19540,18376,20345,20461,21434
,Best,20911,22440,19833,18747,18652,19249,18363,20241,20330,21320
,Max,21077,22834,19997,18955,18809,19553,18698,20542,20639,21548
,Mean,21005.6,22560.95,19894.75,18851.05,18706.15,19392.7,18450.45,20336.95,20384.85,21370.8
,Std. Dev.,45.7445999113844,134.989463526447,40.9259601051254,68.912205778535,39.7363349566801,83.8872049712871,77.2361212196252,77.9260614469356,88.0772836475833,61.7700319095374
,ARPD,0.452393477117307,0.538992869875223,0.31134977058438,0.753874933190807,0.349498417466874,0.767472070667706,0.476229374285248,0.474037843980041,0.269798327594688,0.23827392120075
20x20,1,33917,31865,33920,31738,34671,32602,33156,32484,33727,32317
,10,33816,31597,33920,31707,34590,32602,33223,32677,33776,32320
,11,33812,31674,33920,31768,34586,32564,33112,32472,33600,32629
,12,33816,31663,33920,31768,34671,32564,33207,32601,33625,32673
,13,33812,31923,33920,31768,34672,32950,33112,32655,33697,32702
,14,33951,31658,33920,31707,34672,33162,33038,32456,33697,32262
,15,33816,31867,33920,31738,34698,32592,33038,32677,33858,32262
,16,33816,31587,33920,31722,34590,32602,33088,32645,33814,32262
,17,34038,31658,33920,31884,34686,32564,33038,32601,33625,32311
,18,33812,31658,33920,31788,34691,32564,33135,32601,33697,32346
